nom_fr,nom_latin,code_cim_10,description,gravite_echelle,prevalence,recommandation_triage,symptomes_courants_mots_cles,causes_mots_cles,facteurs_risque_mots_cles
Paludisme,Plasmodium falciparum,B50,"Maladie parasitaire transmise par les piqûres de moustiques Anopheles, provoquant fièvre, frissons et douleurs musculaires.",4,très commun,urgence,"Fièvre,Frissons,Douleurs musculaires,Maux de tête,Vomissements,Fatigue","parasite Plasmodium,piqûre nocturne de moustique Anopheles,exposition prolongée en zone humide","absence de moustiquaire imprégnée,séjour prolongé en zone endémique,immunité affaiblie"
Typhoïde,Salmonella typhi,A01.0,"Infection bactérienne transmise par l’eau ou les aliments contaminés, provoquant fièvre prolongée, douleurs abdominales et troubles digestifs.",3,commun,consultation rapide,"Fièvre,Douleurs abdominales,Diarrhée,Nausées,Fatigue,Maux de tête","bactérie Salmonella typhi,ingestion répétée d’eau souillée,consommation d’aliments mal cuits","hygiène domestique insuffisante,absence de vaccination,consommation régulière d’eau non traitée"
Tuberculose,Mycobacterium tuberculosis,A15,"Infection bactérienne chronique affectant principalement les poumons, transmissible par voie aérienne.",4,commun,consultation spécialisée,"Toux,Sueurs nocturnes,Perte de poids,Fièvre,Fatigue","bactérie Mycobacterium tuberculosis,inhalation répétée de gouttelettes contaminées,contact étroit avec un malade","vie en milieu clos surpeuplé,immunodépression sévère,malnutrition chronique"
Infections respiratoires aiguës,IRA,J06,"Ensemble d’infections affectant les voies respiratoires supérieures, souvent virales.",2,très commun,consultation,"Toux,Fièvre,Écoulement nasal,Maux de tête,Fatigue","virus respiratoires saisonniers,exposition directe à des personnes infectées,variation brutale de température","séjour prolongé en lieux fermés,contact fréquent avec enfants malades,absence de protection nasale"
Diarrhée aiguë,Diarrhoea acuta,A09,"Trouble digestif fréquent causé par des infections virales, bactériennes ou parasitaires.",2,très commun,consultation,"Diarrhée,Douleurs abdominales,Nausées,Vomissements,Fièvre","virus entériques,bactéries pathogènes,ingestion répétée d’aliments contaminés","hygiène alimentaire déficiente,absence d’eau potable,contact direct avec porteurs de germes"
Fièvre Dengue,Dengue virus,A90,"Maladie virale transmise par les moustiques, provoquant fièvre intense et douleurs articulaires sévères.",3,commun,consultation rapide,"Fièvre,Douleurs articulaires,Maux de tête,Éruptions cutanées,Fatigue","piqûres répétées de moustiques Aedes,virus dengue","absence de moustiquaire,exposition prolongée en zone urbaine humide"
Hépatite B,Hepatitis B virus,B18.1,"Infection virale chronique du foie pouvant évoluer vers une cirrhose ou un cancer hépatique.",4,commun,consultation spécialisée,"Fatigue,Jaunisse,Douleurs abdominales,Nausées","contact sanguin répété,virus hépatite B,transmission sexuelle","absence de vaccination,partage d’aiguilles,relations sexuelles non protégées"
Hépatite A,Hepatitis A virus,B15,"Infection virale aiguë du foie transmise par voie oro-fécale, souvent bénigne mais contagieuse.",2,commun,consultation,"Fièvre,Jaunisse,Nausées,Vomissements,Selles décolorées","ingestion d’eau ou aliments contaminés,virus hépatite A","hygiène alimentaire insuffisante,absence de vaccination,contact avec porteurs"
Gastro-entérite virale,Rotavirus/Norovirus,A08,"Inflammation de l’estomac et des intestins causée par des virus, fréquente chez les enfants.",2,très commun,consultation,"Diarrhée,Vomissements,Fièvre,Douleurs abdominales","virus entériques,contact direct avec personnes infectées","hygiène des mains déficiente,consommation d’aliments souillés,crèches surpeuplées"
Otite moyenne aiguë,Otitis media acuta,H66,"Infection de l’oreille moyenne, fréquente chez les enfants, causant douleurs et fièvre.",2,commun,consultation,"Douleur à l’oreille,Fièvre,Perte d’audition,Irritabilité","infection bactérienne ou virale,obstruction des voies respiratoires","environnement humide,antécédents d’infections respiratoires,âge jeune"
