nom_fr,description,type_symptome,gravite_echelle_defaut,mots_cles_associes
Fièvre,"Augmentation rapide et élevée de la température corporelle, souvent accompagnée de frissons.",général,4,"température élevée,hyperthermie,chaud,frissons"
Toux,"Expulsion brusque d'air des poumons pour dégager les voies respiratoires, souvent liée à une infection.",respiratoire,3,"toux sèche,toux grasse,irritation,gorge"
Diarrhée,"Évacuation fréquente de selles liquides, souvent causée par une infection ou une intoxication.",digestif,3,"selles liquides,fréquence élevée,déshydratation,douleurs abdominales"
Vomissements,"Expulsion forcée du contenu gastrique par la bouche, souvent accompagnée de nausées.",digestif,3,"nausées,haut-le-cœur,contenu gastrique,répétition"
Maux de tête,"Douleur localisée ou diffuse au niveau du crâne, souvent liée à la fièvre ou au stress.",neurologique,2,"céphalée,pression crânienne,front,tempes"
Fatigue,"Sensation persistante de manque d’énergie ou d’épuisement physique ou mental.",général,2,"épuisement,manque d’énergie,lassitude,faiblesse"
Douleurs musculaires,"Sensations douloureuses dans les muscles, souvent liées à une infection ou un effort physique.",général,2,"courbatures,douleurs diffuses,tension musculaire,crampes"
Douleurs abdominales,"Douleur ressentie dans la région du ventre, pouvant être aiguë ou chronique.",digestif,3,"crampes,ventre,douleur localisée,spasmes"
Éruptions cutanées,"Apparition de lésions ou rougeurs sur la peau, souvent liées à une infection ou allergie.",dermatologique,2,"plaques,rougeurs,boutons,démangeaisons"
Démangeaisons,"Sensation désagréable incitant à se gratter, souvent liée à une affection cutanée.",dermatologique,2,"prurit,grattage,irritation,peau"
Jaunisse,"Coloration jaune de la peau et des yeux due à une accumulation de bilirubine.",hépatique,4,"yeux jaunes,peau jaune,foie,bilirubine"
Essoufflement,"Difficulté à respirer normalement, souvent liée à un effort ou une pathologie respiratoire.",respiratoire,4,"manque d’air,respiration courte,dyspnée,souffle court"
Tachycardie,"Accélération anormale du rythme cardiaque, souvent ressentie comme des palpitations.",cardiaque,3,"battements rapides,rythme cardiaque élevé,palpitations,stress"
Sueurs nocturnes,"Transpiration excessive pendant le sommeil, souvent liée à une infection ou un trouble hormonal.",général,3,"transpiration,humidité,fièvre nocturne,pyrexie"
Raideur de la nuque,"Rigidité douloureuse du cou, souvent associée à une méningite ou une tension musculaire.",neurologique,4,"cou rigide,douleur cervicale,tension,immobilité"
Photophobie,"Sensibilité excessive à la lumière, souvent liée à une infection oculaire ou neurologique.",neurologique,3,"lumière,douleur oculaire,sensibilité,yeux"
Perte d’appétit,"Réduction ou absence de désir de manger, souvent liée à une maladie ou un stress.",digestif,2,"manque de faim,anorexie légère,repas sautés,dégoût alimentaire"
Urines foncées,"Coloration anormale des urines, souvent liée à une déshydratation ou une atteinte hépatique.",urinaire,3,"couleur sombre,concentré,foie,déshydratation"
Brûlures urinaires,"Douleur ou sensation de brûlure lors de la miction, souvent liée à une infection urinaire.",urinaire,3,"miction douloureuse,urines chaudes,infection,irritation"
Douleurs thoraciques,"Douleur ressentie dans la poitrine, pouvant être liée à une affection cardiaque ou respiratoire.",cardiaque,4,"pression thoracique,poitrine,douleur intense,respiration difficile"
Perte de poids,"Diminution involontaire du poids corporel, souvent liée à une maladie chronique ou infectieuse.",général,3,"amaigrissement,perte de masse,maigreur,inappétence"
Tremblements,"Mouvements involontaires et rythmiques d’une partie du corps, souvent liés à un trouble neurologique ou à la fièvre.",neurologique,3,"secousses,mouvements involontaires,fièvre,tension nerveuse"
Confusion,"Altération de la conscience ou de la capacité à penser clairement, souvent liée à une infection grave ou à un trouble neurologique.",neurologique,4,"désorientation,troubles cognitifs,perte de repères,état mental altéré"
Convulsions,"Contractions musculaires involontaires et soudaines, souvent liées à une crise épileptique ou à une infection cérébrale.",neurologique,5,"crise,secousses,perte de conscience,tremblements violents"
Douleurs articulaires,"Douleur localisée dans une ou plusieurs articulations, souvent liée à une infection ou à une maladie inflammatoire.",général,3,"gonflement,raideur,inflammation,articulations douloureuses"
Gonflement des membres,"Augmentation anormale du volume des bras ou des jambes, souvent liée à une infection ou à une insuffisance circulatoire.",vasculaire,3,"œdème,jambes lourdes,enflure,membres gonflés"
Saignements anormaux,"Écoulement de sang en dehors des règles ou après un traumatisme, souvent lié à une infection ou un trouble de la coagulation.",gynécologique,4,"hémorragie,pertes sanguines,sang abondant,saignement inexpliqué"
Troubles visuels,"Altération de la vision, pouvant aller de la vision floue à la perte partielle ou totale de la vue.",neurologique,4,"vision trouble,baisse de vue,yeux fatigués,perte visuelle"
Yeux rouges,"Coloration rouge du blanc de l’œil, souvent liée à une infection ou une allergie.",ophtalmologique,2,"inflammation,conjonctive,irritation,œil injecté de sang"
Larmoiement excessif,"Production excessive de larmes, souvent liée à une irritation ou une infection oculaire.",ophtalmologique,2,"yeux humides,pleurs involontaires,irritation,conjonctivite"
Plaies cutanées,"Ouvertures ou lésions visibles sur la peau, souvent causées par une infection ou un traumatisme.",dermatologique,3,"ulcères,blessures,écoulement,peau ouverte"
Rougeurs cutanées,"Coloration rouge de la peau, souvent liée à une inflammation, une allergie ou une infection.",dermatologique,2,"inflammation,plaques rouges,irritation,érythème"
Perte de connaissance,"Absence temporaire de conscience, souvent liée à une crise, une hypotension ou une infection grave.",neurologique,5,"évanouissement,syncope,coma léger,absence de réaction"
Douleur pelvienne,"Douleur ressentie dans la région du bassin, souvent liée à une infection génitale ou urinaire.",gynécologique,3,"bas-ventre,douleur intime,pression pelvienne,inconfort"
